,title,description,date,type
403,Инфляция в январе практически не изменилась,"Годовая инфляция в январе осталась на уровне 7,4%. Текущий рост потребительских цен сохранялся вблизи значений декабря. Он замедлился с пиковых уровней осенних месяцев. Тем не менее темпы роста цен продолжают значительно превышать 4% в пересчете на год.",19 февраля 2024,Новость
404,Мониторинг предприятий: рост экономической активности продолжается,"Увеличение индикатора бизнес-климата Банка России в феврале до 7,3 пункта (с 7,0 пункта в январе) указывало на продолжающийся рост экономической активности. Текущие оценки по выпуску товаров и услуг улучшились, а оценки текущего спроса несколько снизились. При этом краткосрочные ожидания компаний в отношении условий бизнеса стали более позитивными, чем месяцем ранее.",19 февраля 2024,Новость
405,Банк России сохранил значения макропруденциальных лимитов по необеспеченным потребительским кредитам,"Банк России сохранил на II квартал 2024 года значения макропруденциальных лимитов (МПЛ) по необеспеченным потребительским кредитам, установленные для I квартала 2024 года. МПЛ направлены на сдерживание роста закредитованности граждан за счет ограничений на кредитование заемщиков с высокой долговой нагрузкой и искусственное удлинение срока кредитов (займов).",19 февраля 2024,Пресс-релиз
406,"Инвесторы стали сдавать тест на понимание сложных инструментов лучше, но реже: итоги двух лет тестирования","Более 9 млн неквалифицированных инвесторов — клиентов крупных брокеров прошли тестирование перед покупкой сложных финансовых инструментов за два года действия этой процедуры. Успешно сдала тест треть из них (33,32%).",19 февраля 2024,Новость
407,Система управления рисками форекс-дилера: базовый стандарт,"С 1 сентября 2024 года форекс-дилеры должны скорректировать подходы к управлению рисками. Банк России утвердил новый базовый стандарт. Он уточняет требования к ведению реестра рисков, к их оценке, а также разграничивает полномочия органов управления форекс-дилера и риск-менеджмента в организации таких процедур.",19 февраля 2024,Новость
408,Центральные банки стран БРИКС обсудили вопросы кибербезопасности,"Представители центральных банков и регуляторов финансового рынка стран — членов БРИКС, в том числе новых, провели первую встречу Канала БРИКС в сфере информационной безопасности (BRICS Rapid Information Security Channel).",19 февраля 2024,Новость
409,Банк России начинает публиковать процентные ставки по корпоративным кредитам в юанях,В связи с ростом кредитования компаний в юанях Банк России начинает публиковать информацию о средневзвешенных процентных ставках по таким кредитам. Также будет раскрываться структура кредитов в китайской валюте по срочности.,16 февраля 2024,Пресс-релиз
410,Завершено финансовое оздоровление ПАО «БАНК УРАЛСИБ»,"Банк России принял решение досрочно завершить проведение мер по предупреждению банкротства «БАНК УРАЛСИБ» (ПАО) (рег. № 2275) (далее — Банк). Все мероприятия, предусмотренные Планом участия в осуществлении мер по предупреждению банкротства Банка (далее — План участия), выполнены.",16 февраля 2024,Пресс-релиз
411,Банк России рассчитал размер иностранного участия в уставном капитале кредитных и страховых организаций,"Размер участия иностранного капитала в совокупном уставном капитале кредитных организаций, имеющих лицензию на осуществление банковских операций, по данным на 1 января 2024 года составил 6,95% (по данным на 1 января 2023 года — 8,97%), в совокупном уставном капитале страховых организаций — 4,79% (по данным на 1 января 2023 года — 9,58%). Банк России ежегодно рассчитывает и публикует данный показатель в соответствии с требованиями законодательства.",15 февраля 2024,Новость
412,"В 2023 году банки предотвратили мошеннические хищения на 5,8 трлн рублей","В прошлом году банки отразили 34,8 млн попыток кибермошенников похитить деньги у граждан, отмечается в «Обзоре операций, совершенных без согласия клиентов финансовых организаций». Статистику о предотвращенных хищениях Банк России начал вести в 2023 году.",13 февраля 2024,Новость
413,16 февраля в 15:00 состоится пресс-конференция по итогам заседания Совета директоров по денежно-кредитной политике,В мероприятии примут участие Председатель Банка России Эльвира Набиуллина и заместитель Председателя Банка России Алексей Заботкин.,13 февраля 2024,Новость
414,Вооруженные силы Российской Федерации: новые монеты,Банк России 12 февраля 2024 года выпускает в обращение три памятные серебряные монеты номиналом 1 рубль «Войска радиоэлектронной борьбы» серии «Вооруженные силы Российской Федерации».,12 февраля 2024,Пресс-релиз
415,"Банк России выявил за год более 5,7 тысячи пирамид и нелегальных поставщиков финансовых услуг","В 2023 году регулятор обнаружил на 15,5% больше финансовых пирамид и нелегалов, чем годом ранее.",09 февраля 2024,Новость
416,В декабре – январе индикаторы денежно-кредитных условий преимущественно сдвигались в сторону ужесточения,"Рост ставок денежного рынка и доходностей ОФЗ на коротких сроках в январе продолжился, что указывало на ужесточение денежно-кредитных условий (ДКУ). При этом более высокие инфляционные ожидания населения и бизнеса в январе по сравнению с ноябрем несколько ограничивали масштаб ужесточения ДКУ в целом.",09 февраля 2024,Новость
417,Мониторинг отраслевых финансовых потоков: разнонаправленная динамика по отраслям,"В январе платежи, проведенные через систему Банка России, снизились к среднему уровню IV квартала в группах отраслей, ориентированных на экспортный и инвестиционный спрос.",08 февраля 2024,Новость
418,Счета компаний и граждан в юанях превысили долларовые в 2023 году,"Средства в китайской валюте на счетах компаний и граждан в российских банках по итогам прошлого года составили 68,7 млрд долларов США в эквиваленте против 64,7 млрд на долларовых счетах.",08 февраля 2024,Новость
419,Национальный норматив краткосрочной ликвидности: доклад для общественных консультаций,"Банк России предлагает обсудить концепцию нового национального норматива краткосрочной ликвидности, представленную в докладе для общественных консультаций.",08 февраля 2024,Новость
420,Определены приоритеты работы финансового трека БРИКС в 2024 году,"7 февраля 2024 года в рамках председательства Российской Федерации в объединении БРИКС состоялась встреча заместителей министров финансов и управляющих центральными банками стран БРИКС в формате видеоконференции. Это первое мероприятие финансового трека БРИКС с участием представителей стран, ставших полноформатными членами объединения с 1 января 2024 года. ",08 февраля 2024,Пресс-релиз
421,Доклад «Региональная экономика»: рост цен и потребительской активности замедлился,Месячный рост потребительских цен с поправкой на сезонность в декабре 2023 года замедлился в большинстве регионов вслед за потребительской активностью. Однако в целом цены все еще росли повышенным темпом. Сберегательные настроения граждан улучшались. Спрос на розничные и корпоративные кредиты снижался.,07 февраля 2024,Новость
422,Банк России оценил влияние климатических рисков на банки и крупнейшие компании РФ,"Результаты стресс-тестирования показали, что банкам следует наладить управление климатическими рисками в соответствии с рекомендациями регулятора, в том числе помогать клиентам из «коричневых» секторов экономики перестроить свои бизнес-модели в условиях энергоперехода и диверсифицировать собственный кредитный портфель.",07 февраля 2024,Новость
423,Банки реструктурировали около 300 тыс. кредитов граждан на 150 млрд рублей: итоги IV квартала 2023 года,"В последние три месяца 2023 года спрос на реструктуризацию кредитов со стороны граждан и субъектов малого и среднего предпринимательства (МСП) вырос, что характерно для конца года. В то же время в целом за год заявок на реструктуризацию от предпринимателей стало существенно меньше. Это свидетельствует о том, что малый и средний бизнес адаптировался к сложившимся условиям.",07 февраля 2024,Новость
424,Банк России составил портрет пострадавшего от кибермошенников,"В 2023 году жертвой мошенников чаще всего становилась работающая женщина в возрасте от 25 до 44 лет со средним уровнем дохода и образования, проживающая в городе.",07 февраля 2024,Новость
425,Число жалоб на мисселинг в 2023 году сократилось в два раза,"В 2023 году Банк России получил 325,3 тыс. жалоб от потребителей финансовых услуг. Это на 7,7% меньше, чем в 2022 году, в том числе за счет сокращения жалоб, связанных с санкционными тематиками.",07 февраля 2024,Новость
426,О чем говорят тренды: замедление месячного роста потребительских цен,"В декабре — январе месячный рост цен замедлился, но остался значимо выше цели по инфляции. Наблюдаемое снижение инфляционного давления пока рано называть устойчивым.",06 февраля 2024,Новость
427,Банк России усилил защиту клиентов НПФ: новая редакция базового стандарта,"Документ, который утвердил регулятор, вводит период охлаждения при заключении договоров негосударственного пенсионного обеспечения (НПО). Теперь клиент вправе в течение 14 дней расторгнуть договор, оформленный с негосударственным пенсионным фондом (НПФ) через агента. Ранее только некоторые НПФ добровольно применяли подобные практики.",05 февраля 2024,Новость
428,Показатели СБП в 2023 году удвоились,"За 2023 год через Систему быстрых платежей (СБП) было совершено свыше 7 млрд операций на общую сумму 31 трлн рублей, треть из них пришлась на IV квартал. По сравнению с предыдущим годом показатели выросли более чем в 2 раза. Об этом говорят данные Банка России.",02 февраля 2024,Новость
429,Аннулирована лицензия на осуществление банковских операций у ООО РНКО «ЮСиЭс»,"Банк России приказом от 02.02.2024 № ОД-165 аннулировал лицензию на осуществление банковских операций у Общества с ограниченной ответственностью расчетная небанковская кредитная организация «ЮСиЭс» ООО РНКО «ЮСиЭс» (рег. № 3541-К, г. Москва). По величине активов кредитная организация занимала 343 место в банковской системе Российской Федерации1.",02 февраля 2024,Пресс-релиз
430,Объем наличных денег превысил 18 трлн рублей: итоги 2023 года,За прошедший год объем наличных денег в обращении увеличился на 2 трлн рублей. Об этом свидетельствуют данные материала «Структура наличной денежной массы в обращении».,01 февраля 2024,Новость
431,Банки теперь обязаны информировать вкладчиков об окончании срока их вкладов,"Согласно законодательству, это нужно сделать не позднее чем за пять дней до окончания срока вклада.",01 февраля 2024,Новость
432,Здесь венчался Пушкин,"Банк России 1 февраля 2024 года выпускает в обращение памятную серебряную монету номиналом 3 рубля «Храм Вознесения Господня „Большое Вознесение“ у Никитских ворот, г. Москва» серии «Памятники архитектуры России» (каталожный № 5111-0496).",01 февраля 2024,Пресс-релиз
433,"Информация о работе платежной системы Банка России 4, 11, 18, 25 февраля, 3, 10, 17, 24 и 31 марта 2024 года","Платежная система Банка России 4, 11, 18, 25 февраля, 3, 10, 17, 24 и 31 марта 2024 года будет функционировать в соответствии с графиком.",31 января 2024,Пресс-релиз
434,Инфляционные ожидания в январе оставались повышенными,"В январе 2024 года, по данным опроса ООО «инФОМ», оценка инфляции, которую граждане ожидают через год, снизилась до 12,7% (с 14,2% месяцем ранее), но осталась на повышенном уровне. Инфляционные ожидания уменьшились и у опрошенных, которые имеют сбережения, и у тех, у кого накоплений нет.",31 января 2024,Новость
435,Еще 17 банков готовятся подключиться к пилоту по цифровому рублю,"Они уже подписали договор о присоединении к платформе цифрового рубля Банка России и теперь настраивают свои системы, чтобы войти в пилот, когда он будет расширен. Список таких кредитных организаций появился на сайте регулятора и будет обновляться.",31 января 2024,Новость
436,"В 2023 году экспорт товаров снизился, импорт восстановился","Экспорт товаров в 2023 году сократился по сравнению с 2022 годом в большей степени из-за снижения мировых цен на сырьевые товары. Его стоимостный объем сложился около уровня 2019 года. Физические объемы экспорта в 2023 году были меньше, чем в 2021 году, из-за внешнеторговых ограничений.",30 января 2024,Новость
437,"В декабре корпоративное и ипотечное кредитование росло высокими темпами, а потребительское затормозило","Корпоративный портфель в декабре увеличился на 1,8%, а в целом за 2023 год рост составил рекордные 20,1%. Были профинансированы крупные сделки по покупке бизнеса, росло финансирование строительства жилья. Кроме того, продолжалось замещение внешнего долга, также у компаний сохранялась высокая потребность в заемных средствах для финансирования текущей деятельности.",30 января 2024,Новость
438,Банк России будет раскрывать больше деталей обсуждения решений по ключевой ставке,"Банк России обновит набор материалов, которые выходят после заседаний Совета директоров по ключевой ставке, и начнет публиковать Резюме обсуждения ключевой ставки (Резюме). Это решение принято с учетом результатов исследований и общественных консультаций по Обзору денежно-кредитной политики Банка России. Его цель — детальнее раскрывать логику принятия решений по ключевой ставке и повысить прозрачность денежно-кредитной политики Банка России.",30 января 2024,Новость
439,Как информировать заемщика о ставках по кредитам: рекомендации Банка России,"Информация о процентных ставках по кредиту или займу, которая представлена в офисах или на сайте кредитора, должна размещаться только вместе с данными о диапазоне значений полной стоимости кредита (ПСК). Речь идет в том числе о публикациях на баннерах, в калькуляторах, всплывающих окнах. При этом сведения о процентных ставках и ПСК следует указывать одинаковым по размеру шрифтом.",29 января 2024,Новость
440,Банк России скорректировал значения надбавок по необеспеченным потребительским кредитам в связи с изменением порядка расчета ПСК,В связи со вступлением в силу с 21 января 2024 года изменений1 порядка расчета ПСК2 Банк России провел обследование 24 крупнейших банков на рынке розничного кредитования и пересмотрел надбавки к коэффициентам риска по необеспеченным потребительским кредитам в зависимости от ПСК.,29 января 2024,Пресс-релиз
441,Югра в серии «Российская Федерация»,Банк России 29 января 2024 года выпускает в обращение памятную монету из недрагоценных металлов номиналом 10 рублей «Ханты-Мансийский автономный округ — Югра» серии «Российская Федерация» (каталожный № 5714-0095).,29 января 2024,Пресс-релиз
442,30 января в 12:00 состоится пресс-конференция директора Департамента банковского регулирования и аналитики Банка России Александра Данилова,Мероприятие посвящено итогам развития банковского сектора в 2023 году.,26 января 2024,Новость
443,Банк России расширяет публикацию статистики ипотечного кредитования,Банк России для улучшения информационного обеспечения пользователей статистических данных начинает публиковать:,25 января 2024,Пресс-релиз
444,Мониторинг предприятий: оценки бизнес-климата остались вблизи среднего значения 2023 года,"Индикатор бизнес-климата Банка России в январе снизился до 6,8 пункта с 7,8 пункта в декабре, при этом остался вблизи среднего значения 2023 года и заметно превысил уровень 2021 года. Текущие оценки по выпуску товаров и услуг уменьшились. Возможности расширения выпуска при растущем спросе ограничивались недостатком кадров и максимальной загрузкой производственных мощностей.",24 января 2024,Новость
445,Годовая инфляция в декабре замедлилась в половине регионов,"Замедление инфляции прежде всего связано с тем, что при ее расчете за последние 12 месяцев перестала учитываться индексация коммунальных тарифов, произошедшая в декабре 2022 года.",24 января 2024,Новость
446,Инфляция в декабре замедлилась,"Годовая инфляция в декабре немного снизилась — до 7,4 с 7,5% в ноябре. Рост цен к предыдущему месяцу с поправкой на сезонность также замедлился. Уменьшилась как устойчивая составляющая роста цен, так и вклад разовых факторов. Несмотря на замедление, устойчивое инфляционное давление оставалось высоким.",22 января 2024,Новость
447,Богдан Шабля с 5 февраля возглавит Департамент финансового мониторинга и валютного контроля,Приказом Председателя Банка России Шабля Богдан Александрович с 5 февраля 2024 года назначен директором Департамента финансового мониторинга и валютного контроля. Ранее он возглавлял Службу текущего банковского надзора.,22 января 2024,Пресс-релиз
448,Исследователи Банка России восстановили историю публикаций российского ВВП,"Эксперты Банка России собрали винтажные данные по российскому ВВП и его компонентам, они представлены в опубликованном исследовании. В набор данных включена информация о пересмотрах номинальных и реальных квартальных показателей в период с декабря 2005 года по настоящее время.",22 января 2024,Новость
449,Базовый уровень доходности вкладов становится аналитическим показателем,"В связи с изменением законодательства поменялись правила уплаты банками дополнительных взносов в Фонд страхования вкладов. Банки больше не будут платить увеличенные взносы, если привлекли вклады по ставкам выше базового уровня доходности вкладов (БУДВ), и смогут более гибко формировать свои предложения по вкладам.",19 января 2024,Новость
450,Правила расчета ПСК и отказа от дополнительных платных услуг меняются с 21 января,"В расчет полной стоимости кредита (ПСК) теперь входят все расходы заемщика, без которых банк не выдаст кредит либо выдаст, но на иных условиях.",19 января 2024,Новость
451,Обязательное страхование ответственности владельцев опасных объектов: новые тарифы,Банк России предлагает по большинству видов опасных объектов снизить на 25% нижнюю границу тарифа по обязательному страхованию гражданской ответственности их владельцев. Корректировка тарифов более точно отражает уровень риска аварии и учитывает динамику убыточности. Последний раз тарифы по этому виду страхования менялись в сентябре 2022 года.,19 января 2024,Новость
452,Как в банковских офисах граждан информируют о вкладах: опрос Банка России,"Банк России приглашает граждан, которые в 2023 году открывали вклад в офисах кредитных организаций, пройти короткий опрос.",18 января 2024,Новость
453,Рынок корпоративных облигаций в 2023 году показал рекордный за 10 лет прирост,"В прошлом году рынок корпоративных бондов вырос на максимальные за последние 10 лет 5 трлн рублей, достигнув 23,9 трлн рублей. Значительный вклад в годовой рост внесло размещение замещающих облигаций и бондов, номинированных в юанях. В декабре рынок показал крупнейший за прошлый год месячный прирост на 1,56 трлн рублей, или на 7%.",17 января 2024,Новость
454,Индикаторы жесткости денежно-кредитных условий в ноябре – декабре изменялись разнонаправленно,В декабре продолжился рост ставок в отдельных сегментах финансового рынка. Вместе с тем вновь возросшие инфляционные ожидания сдерживали ужесточение денежно-кредитных условий.,16 января 2024,Новость
455,Как разрабатывать стратегию устойчивого развития: рекомендации Банка России,Банк России предложил публичным акционерным обществам (ПАО) и эмитентам методику разработки стратегии устойчивого развития и стратегии климатического перехода.,16 января 2024,Новость
456,Екатерина Абашеева назначена директором Департамента корпоративных отношений,Приказом Председателя Банка России с 16 января 2024 года директором Департамента корпоративных отношений назначена Екатерина Николаевна Абашеева.,16 января 2024,Пресс-релиз
457,Изменен формат публикации по основным производным показателям динамики обменного курса рубля,Банк России обновил формат публикации по Основным производным показателям динамики обменного курса рубля начиная с данных за 2023 год. Для удобства пользователей в публикуемом наборе данных отдельно представлены временные ряды с ежемесячными и ежеквартальными данными.,15 января 2024,Пресс-релиз
458,Российской академии наук – 300 лет,Банк России 15 января 2024 года выпускает в обращение памятную серебряную монету номиналом 3 рубля «300-летие Российской академии наук» серии «Исторические события» (каталожный № 5111-0495).,15 января 2024,Пресс-релиз
459,Мониторинг отраслевых финансовых потоков: рост поступлений в декабре,"В декабре 2023 года объем платежей, проведенных через систему Банка России, был на 6,5% выше среднего уровня III квартала.",11 января 2024,Новость
460,Банк России принял решение о госрегистрации вновь созданной расчетной небанковской кредитной организации,Банк России принял решение о государственной регистрации расчетной небанковской кредитной организации «Евро-Азиатская расчетная компания» (Акционерное общество) РНКО ЕАРК (АО) (г. Москва) и выдаче ей лицензии на осуществление банковских операций со средствами в рублях и иностранной валюте для расчетных небанковских кредитных организаций. Лицензия будет выдана Банком России после оплаты уставного капитала РНКО ЕАРК (АО).,11 января 2024,Пресс-релиз
461,В Программе долгосрочных сбережений появился первый НПФ,"Первым оператором Программы долгосрочных сбережений (ПДС) стал СберНПФ. Его правила по формированию долгосрочных сбережений зарегистрировал Банк России. На рассмотрении регулятора находится еще 12 правил от негосударственных пенсионных фондов (НПФ), которые готовы предлагать новый продукт.",11 января 2024,Новость
462,Банк России предупреждает о мошеннических схемах по разблокировке активов,"Мошенники предлагают гражданам решить вопросы с их активами, заблокированными иностранными учетными институтами. Такие объявления массово распространяются в Интернете, в социальных сетях и мессенджерах, а также рассылаются по электронным адресам пользователей, выявил Банк России.",10 января 2024,Новость
463,Банк России рекомендовал банкам блокировать счета компаний с признаками финансовых пирамид и нелегальной деятельности,"Регулятор рекомендовал банкам противодействовать нелегалам на финансовом рынке и их посредникам и использовать для этого меры, предусмотренные «антиотмывочным» законодательством.",10 января 2024,Новость
464,Георгий Победоносец в серебре и золоте,Банк России 9 января 2024 года выпускает в обращение инвестиционные монеты «Георгий Победоносец»:,09 января 2024,Пресс-релиз
465,Кредиторы с 1 января обязаны предупреждать заемщиков о рисках закредитованности,"Банки и микрофинансовые организации с 1 января 2024 года должны при кредитовании граждан письменно уведомлять их о возможных затруднениях с обслуживанием долга и последующих штрафных санкциях, если на выплаты будет уходить более 50% доходов. Это поможет заемщикам принимать взвешенные решения при получении кредита или займа.",02 января 2024,Новость
466,Публичные компании учитывают в своей деятельности вопросы устойчивого развития: обзор Банка России,Информацию в области устойчивого развития включают в свои годовые или отдельные отчеты 90% компаний из котировальных списков первого и второго уровня. Такие сведения по состоянию на декабрь 2023 года приводит регулятор в своем обзоре.,28 декабря 2023,Новость
467,Комментарий Банка России об операциях со средствами Фонда национального благосостояния на внутреннем валютном рынке в 2024 году,"С 9 января 2024 года Банк России в соответствии с ранее анонсированным порядком начинает проведение операций на внутреннем валютном рынке, связанных с пополнением и использованием средств Фонда национального благосостояния (далее — ФНБ), в том числе с учетом всех операций, осуществленных со средствами ФНБ в 2023 году.",28 декабря 2023,Новость
468,На рынке КПК реализовался отложенный спрос: итоги 9 месяцев,"Объем займов, выданных кредитными потребительскими кооперативами (КПК) в III квартале, вырос на 53%, свидетельствуют данные Банка России.",28 декабря 2023,Новость
469,С 1 января 2024 года начинает действовать постоянный механизм кредитных каникул по потребительским кредитам,"По одному кредиту или займу можно получить каникулы один раз в связи со снижением дохода заемщика и один раз — если он пострадал в результате чрезвычайной ситуации. Приостановить платежи можно будет на срок до 6 месяцев. Человек сможет рассчитывать на каникулы, если его доход снизился в последние 2 месяца более чем на 30% по сравнению со средним уровнем за предыдущие 12 месяцев.",28 декабря 2023,Новость
470,Как подключить сервис «наличные на кассе»: рекомендации Банка России,"Регулятор составил пошаговую инструкцию, которая поможет банкам и торговым точкам правильно подготовиться к оказанию услуги «наличные на кассе», заключить необходимые договоры, обучить персонал и доработать программное обеспечение.",28 декабря 2023,Новость
471,Переводы самому себе: новый лимит в СБП,Граждане смогут переводить между своими счетами в разных банках до 30 млн рублей в месяц бесплатно через Систему быстрых платежей (СБП). Новый лимит переводов самому себе (Ме2Ме-перевод) в СБП начнет действовать с 1 мая 2024 года — одновременно со вступлением в силу соответствующего закона.,28 декабря 2023,Новость
472,Принципы управления финансовыми продуктами: рекомендации Банка России,"Банк России рекомендует финансовым организациям при разработке новых продуктов исходить из предварительного анализа потребностей клиентов, заранее оценивать возможные риски и информировать о них потребителей. Также предлагается проводить мониторинг качества продаж и удовлетворенности людей этими продуктами на всех этапах их жизненного цикла.",27 декабря 2023,Новость
