,title,date,full_text
98,Санкции против ВТБ вынудили «Яндекс» закрыть сервис для торговли на бирже,2022-04-05,"Санкции против ВТБ вынудили «Яндекс» закрыть сервис для торговли на бирже Сервис управления финансами «Яндекс.Инвестиции», развивающийся в партнерстве с ВТБ, будет закрыт в апреле. Из-за введенных против банка ограничений пользователи не могут торговать иностранными ценными бумагами"
99,SberCIB спрогнозировал рост Brent до $135 за баррель в третьем квартале,2022-04-06,SberCIB спрогнозировал рост Brent до $135 за баррель в третьем квартале Нефть дорожает из-за увеличивающихся рисков для предложения. В SberCIB Investment Research ожидают сезонного роста спроса на сырье в мире и дальнейшего повышения цены до многолетних максимумов в третьем квартале
100,Совкомбанк предупредил о невыплате купонов по евробондам из-за санкций,2022-04-07,"Совкомбанк предупредил о невыплате купонов по евробондам из-за санкций Владельцы четырех выпусков еврооблигаций Совкомбанка могут остаться без выплат. По двум из них продолжают начислять проценты, но пока не будут выплачивать, еще по двум начисление купонного дохода приостановлено"
101,Уоррен Баффет за день заработал на покупке акций HP около $650 млн,2022-04-08,"Уоррен Баффет за день заработал на покупке акций HP около $650 млн Холдинг Berkshire Hathaway миллиардера Уоррена Баффета стал крупнейшим акционером HP с долей более 11%. Новость привела к резкому росту акций HP, что сделало компанию Berkshire Hathaway богаче почти на $650 млн за день"
102,ПИФ — недорогой способ одновременно купить много акций и облигаций,2022-04-09,"ПИФ — недорогой способ одновременно купить много акций и облигаций Паевой инвестиционный фонд — самый простой с точки зрения профессионалов рынка, но не самый легкий в понимании частного инвестора инструмент. В ликбезе «РБК Инвестиции» ответили на часто задаваемые вопросы о ПИФ"
103,Отчет о движении денежных средств: что нужно знать инвестору,2022-04-10,"Отчет о движении денежных средств: что нужно знать инвестору Один из главных разделов финансовой отчетности — это отчет о движении денежных средств. Рассказываем, из чего он состоит и что инвестор может найти в нем полезного"
104,Акции «Белуга Групп» выросли на 7% на новости о финальных дивидендах,2022-04-11,"Акции «Белуга Групп» выросли на 7% на новости о финальных дивидендах Акции крупнейшего производителя водки взлетели почти на 7%. Котировки «Белуга Групп» начали расти на фоне сообщения о планах компании выплатить финальные дивиденды по итогам 2021 года в размере ₽47,24 на одну акцию"
105,"Ставки в банках, курс рубля и акции Twitter: дайджест инвестора",2022-04-11,"Ставки в банках, курс рубля и акции Twitter: дайджест инвестора Топ-10 ставок по вкладам. ЦБ понизил ставку с 20% до 17% и отменил комиссию 12% на покупку валюты через брокеров. Илон Маск отказался от места в совете директоров Twitter. Заметные события, которые будут влиять на рынки"
106,"Ставки в банках, цены на нефть, дивиденды «Совкомфлота»: дайджест",2022-04-12,"Ставки в банках, цены на нефть, дивиденды «Совкомфлота»: дайджест Топ-10 ставок по вкладам. Цены на нефть Brent вновь превысили отметку $100 за баррель — ОПЕК отказалась наращивать добычу. Совдир «Совкомфлота» обсудит выплату дивидендов. Заметные события, которые будут влиять на рынки"
107,"Ставки в банках, цены на нефть, отчетность BlackRock: дайджест инвестора",2022-04-13,"Ставки в банках, цены на нефть, отчетность BlackRock: дайджест инвестора Топ-10 ставок по вкладам. В Минэнерго России спрогнозировали нефть по $150 за баррель в случае нефтяного эмбарго. Начало сезона отчетности в США. Заметные события, которые будут влиять на рынки"
108,Доходы от делистинга российских бумаг оценили в сотни миллионов долларов,2022-04-14,Доходы от делистинга российских бумаг оценили в сотни миллионов долларов Российские эмитенты покинут иностранные биржи в ближайшее время. Прекращение обращения депозитарных расписок на акции российских компаний и банков может принести иностранным банкам-депозитариями сотни миллионов долларов
109,"Ставки в банках, выходные на западных биржах, российские акции: дайджест",2022-04-15,"Ставки в банках, выходные на западных биржах, российские акции: дайджест Топ-10 ставок по вкладам. В пятницу западные биржи закрыты — инвесторы отмечают Страстную пятницу. Участники российского рынка пока не находят причин для активных покупок. Заметные события, которые будут влиять на рынки"
110,Как основные игроки на бирже вели себя при рекордном обвале рубля,2022-04-16,"Как основные игроки на бирже вели себя при рекордном обвале рубля Снижение курса рубля, а также регуляторные меры, которые ему сопутствовали, необычным образом отразились на действиях игроков валютного рынка. «РБК Инвестиции» опросили экспертов и подробно реконструировали те события"
111,Как инвесторы защищали капитал от «черных лебедей»: 5 примеров из истории,2022-04-17,"Как инвесторы защищали капитал от «черных лебедей»: 5 примеров из истории Периодически в мире происходят неожиданные события, которые сильно влияют на всех. Это «черные лебеди». Разбираемся, возможно ли защитить от них свой капитал и как это делали во время крахов рынка, войн и в пандемию"
112,Торги на СПБ Бирже и в США: инвесторы оценивают риски инфляции и рецессии,2022-04-18,Торги на СПБ Бирже и в США: инвесторы оценивают риски инфляции и рецессии Фьючерсы на американские индексы падают на фоне инфляционного давления и опасений из-за спада в экономике. Российские рынки также падают. Вот как идут торги на СПБ Бирже — главной торговой площадке иностранными акциями
113,Дедлайн по делистингу расписок все ближе. Кому он выгоден и есть ли риски,2022-04-19,"Дедлайн по делистингу расписок все ближе. Кому он выгоден и есть ли риски С 27 апреля российские компании должны будут начать процедуру делистинга своих расписок с иностранных бирж. Такие бумаги могут исчезнуть и с российских площадок. Разбираемся, как это будет, а также в чем плюсы и минусы"
114,Альфа-Банк сообщил клиентам детали перевода активов другому брокеру,2022-04-20,"Альфа-Банк сообщил клиентам детали перевода активов другому брокеру После 30 апреля клиенты «Альфа-Инвестиций» получат инструкцию, как установить приложение нового брокера, а с 1 мая тот откроет им брокерский счет или ИИС. Однако заблокированные бумаги инвесторов подпадут под ограничения"
115,Инвестор-активист Карл Айкан назвал лицемерием отношение Уолл-стрит к ESG,2022-04-21,"Инвестор-активист Карл Айкан назвал лицемерием отношение Уолл-стрит к ESG Миллиардер обвинил сеть ресторанов McDonald’s в том, что она не выполнила обещания по защите прав животных. Компания обещала в 2022 году прекратить работу с поставщиками, которые содержат беременных свиней в клетках"
116,ЦБ выявил манипуляции на рынке при помощи стратегии «накачать и сбросить»,2022-04-22,"ЦБ выявил манипуляции на рынке при помощи стратегии «накачать и сбросить» ЦБ зафиксировал попытку повлиять на фондовый рынок через Telegram-каналы. Целью был разгон акций энергокомпаний «Россети Юг», ГИТ и «Пермэнергосбыт». ЦБ заблокировал счета ряда физических лиц и наложил штрафы"
117,Торговля «по звездам»: пора ли инвесторам переходить на теханализ,2022-04-23,"Торговля «по звездам»: пора ли инвесторам переходить на теханализ ЦБ разрешил компаниям и банкам не публиковать отчетности и другие данные, если из-за этого на них могут наложить санкции. Разбираемся, пора ли переходить с финансового на теханализ и как еще можно анализировать компании"
118,Рынок недвижимости под давлением: можно ли заработать на нем в 2022 году,2022-04-24,"Рынок недвижимости под давлением: можно ли заработать на нем в 2022 году Высокие ипотечные ставки, рекордная с 2015 года инфляция, неопределенность в экономике затронули и рынок жилья. Покупатели рассчитывают на снижение цен, инвесторы оценивают новые уровни доходности недвижимости"
119,"Ставки в банках, вывод активов из «Альфы», отчетность Coca-Cola: дайджест",2022-04-25,"Ставки в банках, вывод активов из «Альфы», отчетность Coca-Cola: дайджест Топ-10 ставок по вкладам. Сегодня истекает дедлайн, когда клиенты «Альфа-Инвестиций» могут перевести иностранные активы к другому брокеру. Coca-Cola опубликует отчетность. Заметные события, которые будут влиять на рынки"
120,Брокер Альфа-Банка разрешил переводить ИИС целиком для сохранения льгот,2022-04-26,"Брокер Альфа-Банка разрешил переводить ИИС целиком для сохранения льгот Подать заявку на перевод активов нужно до конца дня 26 апреля. Ранее «Альфа» заявляла, что у нее нет возможности перенести ИИС целиком к другому брокеру, поэтому инвесторы могли потерять право на вычет"
121,"Invesco запустила ETF на металлы, необходимые в производстве электрокаров",2022-04-27,"Invesco запустила ETF на металлы, необходимые в производстве электрокаров Новый фонд станет первым инструментом, ориентированным на металлы для рынка электромобилей. Существующие похожие фонды включают автомобильные компании, производителей аккумуляторов и горнодобывающие предприятия"
122,ЦБ не допустит массового притока конвертированных из расписок акций,2022-04-27,ЦБ не допустит массового притока конвертированных из расписок акций С 27 апреля начал действовать запрет на выпуск и обращение иностранных депозитарных расписок на акции российских компаний. Резиденты стали массово скупать у нерезидентов расписки для последующей конвертации и продажи
123,VK купит у «Яндекса» медиасервисы. Как это повлияет на бизнес компаний,2022-04-28,"VK купит у «Яндекса» медиасервисы. Как это повлияет на бизнес компаний После получения одобрения регулирующих органов VK станет владельцем сервисов «Яндекс.Новости» и «Яндекс.Дзен». «РБК Инвестиции» опросили аналитиков и выяснили, как продажа медиасервисов повлияет на деятельность компаний"
124,Акции Amazon обвалились на 9% после первого за 7 лет квартального убытка,2022-04-29,"Акции Amazon обвалились на 9% после первого за 7 лет квартального убытка Онлайн-ретейлер Amazon не оправдал ожиданий инвесторов из-за роста складских запасов и подорожания топлива, а также из-за переоценки инвестиций в Rivian. Компания получила чистый убыток впервые с 2015 года"
125,Прибыль холдинга Баффета рухнула вдвое на фоне COVID-19 и геополитики,2022-04-30,Прибыль холдинга Баффета рухнула вдвое на фоне COVID-19 и геополитики Berkshire Hathaway зафиксировала падение чистой прибыли в первом квартале более чем на 50%. Также компания понесла значительный убыток от инвестиций на фондовом рынке и заметно нарастила вложения в акции Chevron
126,"Мания спекуляций, Пауэлл-герой и риски КНР. Что сказал Баффет акционерам",2022-05-01,"Мания спекуляций, Пауэлл-герой и риски КНР. Что сказал Баффет акционерам На собрании акционеров Berkshire Hathaway Уоррен Баффет и Чарли Мангер ответили на вопросы инвесторов и высказали мнение о текущей ситуации на рынке. Партнеры критиковали биткоин и отметили главу ФРС США Джерома Пауэлла"
127,Торги на СПБ Бирже и итоги сессии в США и Азии утром 2 мая,2022-05-02,Торги на СПБ Бирже и итоги сессии в США и Азии утром 2 мая Фьючерсы на основные американские индексы росли после падения рынка США в пятницу. Вспышка COVID-19 в Китае давит на рынки. Вот как идут торги на СПБ Бирже — главной торговой площадке иностранными акциями в России
128,EPS: что такое прибыль на одну акцию и что она дает инвестору,2022-05-03,"EPS: что такое прибыль на одну акцию и что она дает инвестору Один из главных показателей финансовой отчетности — это прибыль на акцию (EPS). Рассказываем, какие виды этого показателя бывают, как их рассчитать, где их можно найти в отчетности и как инвестор может их использовать"
129,"ФРС США повысила ставку до 0,75–1% годовых. Что важно знать инвесторам",2022-05-04,"ФРС США повысила ставку до 0,75–1% годовых. Что важно знать инвесторам Федеральная резервная система по итогам двухдневного заседания приняла решение повысить ставку на 0,5 п.п. С 1 июня ФРС будет сокращать баланс на $47,5 млрд в месяц, с 1 сентября скорость увеличится до $95 млрд"
130,"Баффет купил акции Occidental, кандидаты на делистинг из США: дайджест",2022-05-05,"Баффет купил акции Occidental, кандидаты на делистинг из США: дайджест Компания Баффета купила еще 5,89 млн акций нефтяной компании Occidental Petroleum. SEC пополнила список кандидатов на делистинг с бирж США еще 80 компаниями из Китая. Заметные события, которые будут влиять на рынки"
131,"«Медвежий» рынок на NASDAQ, обвал юаня, Shell продает заправки: дайджест",2022-05-06,"«Медвежий» рынок на NASDAQ, обвал юаня, Shell продает заправки: дайджест Рынок США обвалился в четверг на максимальное значение за год. Доллар вырос против китайского юаня до максимума с ноября 2020 года. Shell может продать заправки ЛУКОЙЛу .Заметные события, которые будут влиять на рынки"
132,Какие российские акции стали самыми доходными: дивидендный рейтинг РБК,2022-05-07,"Какие российские акции стали самыми доходными: дивидендный рейтинг РБК Многие компании решили не выплачивать итоговые дивиденды за 2021 год. Несмотря на это, выплаты некоторых компаний оказались вполне щедрыми. «РБК Инвестиции» подвели дивидендные итоги года, определив самые доходные бумаги"
133,NASDAQ рухнул. Эти 10 акций Bernstein советует выкупать на просадке,2022-05-08,NASDAQ рухнул. Эти 10 акций Bernstein советует выкупать на просадке Аналитики компании Bernstein увидели в масштабной коррекции рынка хорошие возможности для покупки акций технологических компаний и составили список из десяти наиболее перспективных бумаг
134,Эмитент: кто он такой и как ему доверять,2022-05-09,"Эмитент: кто он такой и как ему доверять Чтобы ценная бумага появилась на рынке, нужно пройти длительный процесс с большим количеством участников. Но начинается все с эмитента. Рассказываем, кто может выпустить акции и что им за это будет"
135,"Goldman Sachs, Bank of America, Citigroup — банки покидают рынок SPAC",2022-05-10,"Goldman Sachs, Bank of America, Citigroup — банки покидают рынок SPAC Американский банк Goldman Sachs сообщил о прекращении своего участия в листингах SPAC-компаний и приостановке выпуска новых акций SPAC в США. Ранее о сокращении работы со SPAC также заявили Bank of America и Citigroup"
136,"Цены на газ, обвал акций Coinbase, инфляция в США: дайджест инвестора",2022-05-11,"Цены на газ, обвал акций Coinbase, инфляция в США: дайджест инвестора Украина сообщила о приостановке транзита газа в Европу. Эксперты ожидают снижения инфляции в США с 8,5% до 8,1%. Coinbase отчиталась об убытке, акции упали на 16%. Заметные события, которые будут влиять на рынки"
137,"Ответные санкции РФ, обвал акций Beyond Meat, ставки в банках: дайджест",2022-05-12,"Ответные санкции РФ, обвал акций Beyond Meat, ставки в банках: дайджест Правительство РФ определилось со списком компаний, которые подпадут под российские санкции. Среди них — Gazprom Germania. Акции Beyond Meat обвалились на 21% на отчетности. Заметные события, которые будут влиять на рынки"
138,"Укрепление рубля, Россия — Украина, взлет акций Affirm на 33,5%: дайджест",2022-05-13,"Укрепление рубля, Россия — Украина, взлет акций Affirm на 33,5%: дайджест Рубль может закрепиться в диапазоне ₽60–65 за доллар. Россия изменила позицию по вступлению Украины в ЕС. Американский финтех Affirm подорожал на 33,5% на отчетности. Заметные события, которые будут влиять на рынки"
139,Смогут ли ОФЗ заменить вклады и сохранить деньги при рекордной инфляции,2022-05-14,Смогут ли ОФЗ заменить вклады и сохранить деньги при рекордной инфляции Инфляция на максимальных уровнях за последние семь лет — с 2015 года. Ставки по банковским вкладам и доходность по ОФЗ снижаются. Куда инвесторам выгоднее вкладывать свободные денежные средства — разбираемся с экспертами
140,"Стать ближе к людям: 5 акций США, готовых к дроблению в 2022 году",2022-05-15,"Стать ближе к людям: 5 акций США, готовых к дроблению в 2022 году Начальник отдела аналитики и продвижения «БКС Мир инвестиций» Оксана Холоденко анализирует компании США, которые готовы провести сплит бумаг до конца года, а также основных кандидатов на сплит"
141,"Послабления для экспортеров, эмбарго на нефть, отскок рынка США: дайджест",2022-05-16,"Послабления для экспортеров, эмбарго на нефть, отскок рынка США: дайджест Экспортерам разрешили не продавать валюту на сумму платежей по импорту. Германия до конца года откажется от нефти из России. Эксперты ожидают дальнейшего падения рынка США. Заметные события, которые будут влиять на рынки"
142,«Тинькофф» обязали вернуть клиенту деньги после скандала с конвертацией,2022-05-17,"«Тинькофф» обязали вернуть клиенту деньги после скандала с конвертацией Финансовый уполномоченный решил, что Тинькофф Банк должен вернуть клиенту деньги, которые списали из-за выгодной конвертации валют. С блокировкой счетов и списаниями столкнулись десятки трейдеров, решение касается одного"
143,Котировки сети Target рухнули на 23% на фоне снижения прибыли и прогнозов,2022-05-18,Котировки сети Target рухнули на 23% на фоне снижения прибыли и прогнозов Прибыль Target в первом квартале упала вдвое по сравнению с прошлым годом. Компания также снизила прогноз по прибыли. После разочаровывающей отчетности в акциях американского ретейлера начались массовые продажи
144,JPMorgan спрогнозировал восстановление на рынке акций США до конца года,2022-05-19,"JPMorgan спрогнозировал восстановление на рынке акций США до конца года Стратег JPMorgan Chase Марко Коланович предположил, что все плохое в этом году уже произошло и ждет улучшения ситуации на рынке акций. Он посоветовал сделать ставку на инновации, биотехнологии и международные акции роста"
145,Власти хотят сохранить льготы для владельцев ИИС при смене брокера,2022-05-20,"Власти хотят сохранить льготы для владельцев ИИС при смене брокера Минфин и ЦБ разрабатывают механизм перевода активов с ИИС другому брокеру без потери льгот. Они подготовили изменения в Налоговый кодекс, которые позволят инвестору сохранить налоговый вычет при переводе активов частями"
146,"Нефтяные акции — новый FAANG. Почему их выбирают Баффет, Далио и Бьюрри",2022-05-21,"Нефтяные акции — новый FAANG. Почему их выбирают Баффет, Далио и Бьюрри На американском рынке произошла перестройка — технологические акции уступили в популярности бумагам нефтегазового сектора. Нефтяными акциями в первом квартале закупались гуру инвестиций. Разбираемся, что происходит"
147,Что такое дюрация простыми словами,2022-05-22,"Что такое дюрация простыми словами Как оценивать и сравнивать между самой облигации, пользуясь дюрацией, какие бонды выбирать соответственно своей стратегии инвестирования и при этом с учетом дюрации — в ликбезе «РБК Инвестиций»"
148,"БПИФ на Мосбирже, дивиденды «Сбера», акции «Петропавловска»: дайджест",2022-05-23,"БПИФ на Мосбирже, дивиденды «Сбера», акции «Петропавловска»: дайджест Мосбиржа возобновит торги десятью БПИФ на иностранные бумаги. Кабмин обязал Минфин не учитывать дивиденды по акциям Сбербанка. УГМК может купить акции «Петропавловска». Заметные события, которые будут влиять на рынки"
149,Первый день торгов БПИФ с иностранными активами закончился распродажей,2022-05-23,"Первый день торгов БПИФ с иностранными активами закончился распродажей БПИФ с зарубежными активами вернулись на торги спустя почти два месяца. Регулятору пришлось временно отступить от федерального закона. Разобрали, что нужно знать инвестору в фонды, чтобы адекватно оценивать свои паи"
150,"Акции Zoom и Snap, ослабление валютного контроля и рубль: дайджест",2022-05-24,"Акции Zoom и Snap, ослабление валютного контроля и рубль: дайджест Акции Snap упали на 30% на ухудшении прогнозов на второй квартал. Zoom подорожал на 20% после выхода отчетности. Минфин снизил требования по продаже валюты с 80% до 50%. Заметные события, которые будут влиять на рынки"
151,"Госдолг России, отчетность NVIDIA, собрание акционеров Twitter: дайджест",2022-05-25,"Госдолг России, отчетность NVIDIA, собрание акционеров Twitter: дайджест США отказались продлить лицензию для обслуживания внешнего долга РФ. NVIDIA опубликует отчетность после закрытия рынка. Акционеры Twitter проголосуют по сделке с Маском. Заметные события, которые будут влиять на рынки"
152,"Ставка ЦБ, дивиденды «Газпрома», отчетность NVIDIA: дайджест инвестора",2022-05-26,"Ставка ЦБ, дивиденды «Газпрома», отчетность NVIDIA: дайджест инвестора ЦБ проведет заседание, где примет решение по ключевой ставке. СД «Газпрома» обсудит выплату дивидендов за 2021 год. NVIDIA представила негативный прогноз на второй квартал. Заметные события, которые будут влиять на рынки"
153,"Смягчение валютного контроля, акции «Газпрома», курс рубля: дайджест",2022-05-27,"Смягчение валютного контроля, акции «Газпрома», курс рубля: дайджест ЦБ увеличил срок продажи валютной выручки экспортерами до 120 дней. Акции «Газпрома» могут вырасти до ₽340 на новости о дивидендах. Рубль продолжит слабеть, но медленнее. Заметные события, которые будут влиять на рынки"
154,"Как решение ЦБ по ставке отразится на ОФЗ, рынке акций и рубле",2022-05-28,"Как решение ЦБ по ставке отразится на ОФЗ, рынке акций и рубле Банк России в третий раз с начала 2022 года снизил ключевую ставку — до 11% годовых. Как решение по ключевой ставке скажется на российском фондовом и валютном рынке, «РБК Инвестициям» рассказали эксперты"
155,Стоит ли покупать юани сейчас: что будет с курсом летом и куда их вложить,2022-05-29,"Стоит ли покупать юани сейчас: что будет с курсом летом и куда их вложить О китайской валюте часто говорят как об альтернативе доллару и евро для российских инвесторов. «РБК Инвестиции» разбирались, может ли юань быть привлекательным активом для покупки"
156,"Выходной в США, платежи по госдолгу в рублях, $ 120 за Brent: дайджест",2022-05-30,"Выходной в США, платежи по госдолгу в рублях, $ 120 за Brent: дайджест Биржи США не работают в связи с Днем поминовения. Россия разработала механизм расчетов по госдолгу в рублях. Brent подорожала выше $120 за баррель накануне саммита ЕС. Заметные события, которые будут влиять на рынки"
157,Торги на СПБ Бирже и итоги сессии в США и Азии утром 31 мая,2022-05-31,Торги на СПБ Бирже и итоги сессии в США и Азии утром 31 мая Американские и азиатские индексы торгуются без единой динамики. ЕС согласовал частичный запрет импорта российской нефти. Вот как идут торги на СПБ Бирже — главной торговой площадке иностранными акциями в России
158,"Дивиденды «Мечела», отмена запрета на «шорты», аномалия в евро: дайджест",2022-06-01,"Дивиденды «Мечела», отмена запрета на «шорты», аномалия в евро: дайджест «Мечел» решил не выплачивать дивиденды за 2021 год. С 1 июня отменен запрет на короткие продажи акций и покупку валюты «с плечом». Евро приблизился к паритету с долларом. Заметные события, которые будут влиять на рынки"
159,Что означает отрицательная процентная ставка и зачем она банкам и ЦБ РФ,2022-06-02,"Что означает отрицательная процентная ставка и зачем она банкам и ЦБ РФ Заемщик получает дополнительную плату к кредиту, вкладчик, наоборот, вынужден сам доплачивать за то, что его деньги хранятся в финансовой организации. Все это возможно при установлении отрицательной процентной ставки"
160,"Акции «Северстали», санкции ЕС, собрание акционеров «Аэрофлота»: дайджест",2022-06-03,"Акции «Северстали», санкции ЕС, собрание акционеров «Аэрофлота»: дайджест Санкции США против «Северстали» негативны и для ММК. Эффект запрета на страхование танкеров может быть сильным. Акционеры «Аэрофлота» обсудят увеличение уставного капитала. Заметные события, которые будут влиять на рынки"
161,НРД под санкциями ЕС. Что можно и нельзя делать с бумагами России и США,2022-06-04,"НРД под санкциями ЕС. Что можно и нельзя делать с бумагами России и США Национальный расчетный депозитарий подпал под санкции Евросоюза. Ранее он уже пострадал от блокировки счетов в Euroclear и Clearstream. Разбираемся, изменят ли ситуацию новые ограничения и отразятся ли они на инвесторах"
162,Инвестиции уже не будут прежними: что и как сейчас безопасно покупать,2022-06-05,"Инвестиции уже не будут прежними: что и как сейчас безопасно покупать Финансовый блогер Леонид Кофман проанализировал инфраструктурные ограничения на финансовом рынке и собрал способы безопасного инвестирования в российские бумаги, акции США и криптовалюту"
163,"Сплит акций Amazon, работа российских бирж, уход Dow Jones: дайджест",2022-06-06,"Сплит акций Amazon, работа российских бирж, уход Dow Jones: дайджест Акции Amazon начнут торговаться по цене в 20 раз ниже уровня пятницы. Мосбиржа продолжит работу в прежнем режиме. Dow Jones не будет снабжать банки РФ данными о санкциях. Заметные события, которые будут влиять на рынки"
164,В США запретили американцам покупку российских бумаг на вторичном рынке,2022-06-07,"В США запретили американцам покупку российских бумаг на вторичном рынке Минфин США ввел санкции против вторичного рынка российских бумаг. Гражданам США запрещены новые инвестиции в Россию, в том числе покупка акций и облигаций на вторичном рынке. Но они могут владеть бумагами и продавать их"
165,Майкл Бьюрри предупредил о подрыве покупательной способности доллара,2022-06-08,"Майкл Бьюрри предупредил о подрыве покупательной способности доллара Американский финансист Майкл Бьюрри, который стал прототипом героя фильма «Игра на понижение», заявил что доллар теряет покупательную способность из-за безудержного роста цен на продукты питания, газ и жилье в США"
166,"Brent выше $124 за баррель, Сбербанк остановил расчеты в юанях: дайджест",2022-06-09,"Brent выше $124 за баррель, Сбербанк остановил расчеты в юанях: дайджест Нефть дорожает на снятии локдаунов в Китае, высоком спросе в США и тупике в переговорах Иран — Запад. Сбербанк приостановил расчеты в юанях для корпоративных клиентов. Заметные события, которые будут влиять на рынки"
167,ЦБ проверит введение комиссий по валютным счетам на предмет нарушений,2022-06-10,"ЦБ проверит введение комиссий по валютным счетам на предмет нарушений По сообщению регулятора, банки не должны ухудшать условия обслуживания уже существующих клиентов, поскольку одностороннее изменение условий договора банковского вклада является нарушением закона банковской деятельности"
